GVKEY,EXECID,EXEC_FULLNAME,CEOANN,CO_PER_ROL,CONAME,Company Has CEO?,TITLEANN,TDC1,BONUS,STOCK_AWARDS,OPTION_AWARDS,NONEQ_INCENT,PENSION_CHG,OTHCOMP,TOTAL_SEC,TOTAL_CURR,TOTAL_ALT1,TOTAL_ALT2,TERM_PYMT,CHG_CTRL_PYMT,SHROWN_TOT,SHROWN_TOT_PCT,SHROWN_EXCL_OPTS,SHROWN_EXCL_OPTS_PCT,OPT_EXER_NUM,OPT_EXER_VAL,SHRS_VEST_NUM,SHRS_VEST_VAL,AGE,OPTION_AWARDS_NUM,OPTION_AWARDS_FV,STOCK_AWARDS_FV,OPT_UNEX_EXER_NUM,OPT_UNEX_UNEXER_NUM,OPT_UNEX_EXER_EST_VAL,OPT_UNEX_UNEXER_EST_VAL,STOCK_UNVEST_NUM,STOCK_UNVEST_VAL,EIP_UNEARN_NUM,EIP_UNEARN_VAL,PENSION_VALUE_TOT,PENSION_PYMTS_TOT,DEFER_CONTRIB_EXEC_TOT,DEFER_CONTRIB_CO_TOT,DEFER_EARNINGS_TOT,DEFER_WITHDR_TOT,DEFER_BALANCE_TOT,DEFER_RPT_AS_COMP_TOT,EXECRANKANN,OTHANN,,TDC2,RSTKGRNT,OPTION_AWARDS_BLK_VALUE,OPTION_AWARDS_RPT_VALUE,LTIP,ALLOTHTOT,ALLOTHPD,SAL_PCT,TOTAL_CURR_PCT,TOTAL_SEC_PCT,TOTAL_ALT1_PCT,TOTAL_ALT2_PCT,TDC1_PCT,TDC2_PCT,RET_YRS,COMMENT,PCEO,REASON,EXEC_LNAME,EXEC_FNAME,EXEC_MNAME,GENDER,SICDESC,NAICSDESC,INDDESC,SPCODE,TICKER,NAICS,SPINDEX,SIC,,,
1254,26079,Matthew J. Cox,CEO,26876,MATSON INC,Yes,"Chief Executive Officer, President and Director",3803.68,0,1900.024,0,1185.726,264.785,84.152,4068.465,633.778,4068.465,3108.22,2622.834,9490.949,400.751,0.924,62.456,0.144,11.113,114.908,31.531,824.871,52,0,0,1900.024,249.539,10.621,3817.143,114.494,86.878,2999.029,68.198,2354.195,1475.722,0,0,11.213,0.593,0,45.669,0,1,,,7376.177,,,,,,,3.05,3.05,14.531,14.531,6.105,3.542,3.542,,,CEO,,Brandt,Donald,E.,MALE,ELECTRIC SERVICES,"Electric Power Generation, Transmission and Distri",Electric Utilities,SP,PNW,2211,5510,4911,,,1254
1274,42338,"Weston M. Hicks, CFA",CEO,44973,ALLEGHANY CORP,Yes,"Chief Executive Officer, President and Director",7628.579,0,3959.904,0,2500,2914.467,168.675,10543.046,1000,10543.046,10933.659,30701.039,0,65.67,0.411,65.67,0.411,0,0,11.437,4350.517,57,0,0,3959.904,0,0,0,0,0,0,55.054,25896.758,11354.082,0,0,151.563,312.294,3.562,2526.937,0,1,,,3732.274,,,,,,,3.839,3.839,142.338,142.338,98.884,65.041,65.041,,,,,Edington,Randall,K.,MALE,ELECTRIC SERVICES,"Electric Power Generation, Transmission and Distri",Electric Utilities,SP,PNW,2211,5510,4911,,,1274
1300,20931,"David M. Cote, J.D.",CEO,25016,HONEYWELL INTERNATIONAL INC,Yes,Chairman and Chief Executive Officer,23567.832,5500,0,14816,0,6183.531,776.821,29142.121,7365.769,29142.121,50722.121,19077.632,35150.332,6827.44,0.873,876.3,0.112,600,36396,0,0,61,868.673,14816,0,5068.75,1974.923,273376.812,43358.043,0,0,0,0,55203.406,0,131.761,4611.321,9710.743,0,113231.24,609.242,1,,,1851.657,,,,,,,5.556,5.556,10.259,10.259,8.537,5.855,5.855,,,,,Hatfield,James,R.,MALE,ELECTRIC SERVICES,"Electric Power Generation, Transmission and Distri",Electric Utilities,SP,PNW,2211,5510,4911,,,1300
1327,17260,David J. Aldrich,CEO,17159,SKYWORKS SOLUTIONS INC,Yes,Chairman of the Board and Chief Executive Officer,6912.623,0,2474.753,1455.384,2220,0,14.717,6912.623,747.769,6912.623,19630.858,39250.687,40233.337,490.413,0.257,157.763,0.083,470,12086.659,180.919,4561.713,54,140,1455.384,2474.753,373.825,391.475,14852.79,14070.169,406.156,22440.119,0,0,0,0,0,0,130.444,1124.458,0,0,1,,,1995.302,,,,,,,3.984,3.984,20.449,20.449,-1.805,18.428,18.428,,,,,Falck,David,P.,MALE,ELECTRIC SERVICES,"Electric Power Generation, Transmission and Distri",Electric Utilities,SP,PNW,2211,5510,4911,,,1327
1356,32501,"Klaus-Christian Kleinfeld, Ph.D., rer. pol., Dipl.",CEO,34022,ALCOA INC,Yes,"Chairman, Chief Executive Officer, Chairman of Executive Council, Chairman of International Committee and Chairman of Executive Committee",13589.622,0,6960.058,1740.011,3228.984,4568.9,220.569,18158.522,1440,18158.522,26999.681,10207.007,29363.897,3584.697,0.274,1097.163,0.084,1600,11004.32,561.59,6536.908,57,612.68,8700.069,0,2639.273,1263.697,11479.787,7198.595,761.553,12024.922,1322.213,20877.743,12689.19,0,70.8,70.8,205.458,0,1309.001,0,1,,,1987.483,,,,,,,0,0,-29.744,-29.744,20.563,-29.744,-71.701,,,,,Danielson,Gilbert,L.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1356
1380,2132,John B. Hess,CEO,79,HESS CORP,Yes,"Chief Executive Officer, Director and Member of Executive Committee",14333.227,0,7819.982,1954.997,3037.5,8126.303,20.748,22459.53,1500,22459.53,16652.987,0,50234.577,29327.642,10.217,27988.743,9.75,0,0,49.93,3968.436,60,73.885,1954.997,7819.982,1314.27,73.885,19040.673,0,132.998,9817.912,347.812,25675.482,54665.769,0,0,0,0,0,0,0,1,,,5355.106,,,,,,,-33.333,-33.333,41.631,41.631,600.487,41.631,28.627,,,CEO,,Allen,Ronald,W.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1380
1410,16088,Henrik C. Slipsager,CEO,15843,ABM INDUSTRIES INC,Yes,"Chief Executive Officer, President, Executive Director and Member of Executive Committee",3766.516,0,1759.971,0,1048.806,43.027,69.073,3809.543,888.666,3809.543,4561.999,10729.373,21918.428,425.555,0.763,125.294,0.225,236.255,1548.819,33.96,963.608,59,0,0,1759.971,340.261,92.995,2446.485,626.702,99.149,2740.479,65.897,1821.392,705.387,0,731.387,0,97.257,0,5236.397,0,1,,,1251.444,,,,,,,-33.333,-37.877,42.15,42.15,5.103,42.15,34.251,,,,,Buck,David,L.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1410
1414,43827,"John A. Addison, Jr.",CEO,46622,PRIMERICA INC,Yes,"Co-Chief Executive Officer, Director and Chairman of Primerica Distribution",3636.738,0,827.708,377.893,1621.5,14.348,59.637,3651.086,750,3651.086,3839.762,10038.453,12288.453,79.899,0.153,79.899,0.153,0,0,31.563,1394.277,57,30.135,1205.601,0,13.19,56.517,285.3,964.206,53.989,2929.443,0,0,79.626,4.433,0,0,0,0,0,0,1,,,951.966,,,,,,,71.428,52.618,103.591,103.591,95.301,103.591,81.638,,,,,Kamerschen,Robert,W.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1414
1439,46409,"Jeffrey R. Feeler, CPA",CEO,49520,US ECOLOGY INC,Yes,"Chief Executive Officer, President and Director",787.092,30,0,0,358.606,0,17.236,787.092,411.25,787.092,1470.356,959.234,2826.705,47.131,0.218,47.131,0.218,21.213,501.978,4.801,181.286,44,0,0,0,2.489,58.222,50.8,824.381,9.599,385.112,0,0,0,0,0,0,0,0,0,0,1,,,941.319,,,,,,,3.687,15.939,23.001,23.001,-10.38,23.001,0.788,,,,,Montanero,Tristan,J.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1439
1440,40778,Nicholas K. Akins,CEO,43255,AMERICAN ELECTRIC POWER CO,Yes,"Chairman, Chief Executive Officer, President, Chairman of Executive Committee and Member of Policy Committee",11013.733,0,6720.019,0,2950,359.787,102.96,11373.52,1240.754,11373.52,14215.493,17584.197,30907.037,39.763,0.008,39.763,0.008,0,0,164.743,9561.992,54,0,0,6720.019,0,0,0,0,110.145,6688.005,214.805,26085.92,1420.792,0,1225.9,78.3,1541.299,0,7315.153,0,1,,,1360.283,,,,,,,,,,,,,,,,,,Michaels,Steven,A.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1440
1447,2157,Kenneth I. Chenault,CEO,111,AMERICAN EXPRESS CO,Yes,"Chairman, Chief Executive Officer, Chairman of American Express Travel Related Services Company Inc and Chief Executive Officer of American Express Travel Related Services Company Inc",22378.158,4500,12429.114,2535.762,0,417.925,913.282,22796.083,6500,22796.083,53141.229,21127.86,20970.098,965.624,0.095,965.624,0.095,737.5,26056.451,224.754,19253.571,63,0,0,14964.876,3636.644,95.849,200043.761,4358.586,0,0,422.67,39325.217,8688.909,0,392.308,525.5,1132.637,0,33877.369,0,2,,,1759.384,,,,,,,,,,,,,,,,,,"Robinson, III",John,W.,MALE,"EQUIP RENTAL & LEASING, NEC",All Other Consumer Goods Rental,Homefurnishing Retail,MD,AAN,532299,2550,7359,,,1447
1449,13,Daniel P. Amos,CEO,2653,AFLAC INC,Yes,"Chairman, Chief Executive Officer and Chairman of Executive Committee",8642.194,0,2141.162,0,4829.415,6835.154,230.517,15477.348,1441.1,15477.348,20813.182,83625.303,83625.303,2145.419,0.489,2145.419,0.489,143.169,3088.155,70.323,4388.841,62,0,0,2141.162,2490.206,0,36767.365,0,0,0,326.2,19927.558,62266.054,0,0,441.1,264.8,0,4969.414,0,1,,,20455.904,,,,,,,3.846,3.846,-15.017,-15.017,-19.55,-21.189,-16.85,,,CEO,,White,Miles,D.,MALE,PHARMACEUTICAL PREPARATIONS,Pharmaceutical Preparation  Manufacturing,Health Care Equipment,SP,ABT,325412,3510,2834,,,1449
1468,11710,Jeffrey M. Weiss,CEO,23915,AMERICAN GREETINGS  -CL A,Yes,"Co-Chief Executive Officer, Director and Member of Executive Committee",6293.37,3640,0,0,1584.369,943.446,57.271,7236.816,4651.73,7236.816,7236.816,6830.341,6830.341,,,,,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,2707.05,0,0,0,35.597,4.636,314.438,0,2,,,5131.481,,,,,,,4.419,4.419,24.246,24.246,-42.153,-15.321,-49.743,,,,,Freyman,Thomas,Craig,MALE,PHARMACEUTICAL PREPARATIONS,Pharmaceutical Preparation  Manufacturing,Health Care Equipment,SP,ABT,325412,3510,2834,,,1468
1487,20972,Robert Herman Benmosche,CEO,42214,AMERICAN INTERNATIONAL GROUP,Yes,Advisor,11363.14,0,6886.996,0,2960,70.232,131.529,11433.372,1384.615,11433.372,4546.376,0,0,187.203,0.014,186.486,0.014,0,0,0,0,70,0,0,6886.996,0,0,0,0,0,0,417.948,23409.268,210.81,112.521,0,0,0,0,0,0,3,,,2365.121,,,,,,,,,,,,,,,,,,"Capek, Ph.D.",John,M.,MALE,PHARMACEUTICAL PREPARATIONS,Pharmaceutical Preparation  Manufacturing,Health Care Equipment,SP,ABT,325412,3510,2834,,,1487
1554,40759,Charles P. Dougherty,CEO,49526,AMERICAN SCIENCE ENGINEERING,Yes,"Chief Executive Officer, President and Director",1471,0,680,0,49,0,176,1471,566,1471,946,1171,3458,4.581,0.064,4.581,0.064,0,0,2.387,155,53,0,0,680,0,0,0,0,0,0,18.81,919,0,0,0,0,0,0,0,0,1,,,2567.356,,,,,,,12.267,12.267,18.738,18.738,-37.274,3.816,-1.221,,,,,Blaser,Brian,J.,MALE,PHARMACEUTICAL PREPARATIONS,Pharmaceutical Preparation  Manufacturing,Health Care Equipment,SP,ABT,325412,3510,2834,,,1554
1585,36036,Eric G. Wintemute,CEO,38031,AMERICAN VANGUARD CORP,Yes,Chairman and Chief Executive Officer,1529.192,0,596.612,275.21,0,0,52.37,1529.192,605,1529.192,657.37,0,3241.814,919.437,3.149,889.437,3.046,0,0,0,0,58,52.966,275.21,596.612,30,52.966,123.6,6.886,115.892,1346.665,0,0,0,0,0,0,0,0,0,0,1,,,2635.973,,,,,,,,,,,,,,,,,,Landgraf,John,C.,MALE,PHARMACEUTICAL PREPARATIONS,Pharmaceutical Preparation  Manufacturing,Health Care Equipment,SP,ABT,325412,3510,2834,,,1585
1598,4252,Frank S. Hermance,CEO,2666,AMETEK INC,Yes,"Chairman, Chief Executive Officer and Chairman of Executive Committee",6729.367,519.86,1841.486,1442.119,1310.951,379.873,433.451,7109.24,1701.36,7109.24,5831.913,18820.259,21276.597,2353.423,0.975,2353.423,0.975,0,0,37.563,2006.278,65,118.1,3283.605,0,1326.175,368.909,42108.983,3912.316,106.069,5582.411,0,0,2213.4,0,0,357.8,755.725,0,34960.251,0,1,,,1132.789,,,,,,,4.839,4.839,62.004,62.004,44.768,62.004,42.617,,,,,Roth,Douglas,,MALE,CHEMICALS & ALLIED PDS-WHSL,Other Chemical and Allied Products Merchant Wholes,Health Care Distributors,SM,ACET,424690,3510,5160,,,1598
1602,33199,Robert A. Bradway,CEO,34806,AMGEN INC,Yes,"Chairman, Chief Executive Officer, President, Chairman of Executive Committee and Member of Equity Award Committee",13961.667,0,8999.88,0,2867,0,589.018,13961.667,1505.769,13961.667,10864.479,0,50989.638,219.63,0.029,219.63,0.029,65,3814.85,18.596,2087.842,51,0,0,8999.88,343.51,24.99,36868.206,2613.954,56.678,9028.239,331.153,52749.361,0,0,1799,483.8,357.495,0,8240.06,0,1,,,2166.731,,,,,,,15.751,15.751,73.796,73.796,25.916,73.796,73.796,,,CEO,,Guccione,Salvatore,J.,MALE,CHEMICALS & ALLIED PDS-WHSL,Other Chemical and Allied Products Merchant Wholes,Health Care Distributors,SM,ACET,424690,3510,5160,,,1602
1632,32412,Vincent T. Roche,CEO,33925,ANALOG DEVICES,Yes,"Chief Executive Officer, President and Director",6027.17,0,2757.776,1321.836,1139.469,63.397,64.243,6090.567,743.846,6090.567,5061.116,16428.108,16428.108,16.723,0.005,16.723,0.005,145.675,2454.748,12.07,595.413,54,146.9,1321.836,2757.776,215.16,390.17,2314.419,2116.963,114.005,5656.928,0,0,261.754,0,63.384,5.071,48.738,0,722.554,0,1,,,1614.222,,,,,,,-26.291,-26.291,10.156,10.156,10.338,10.156,4.715,,,,,Eilender,Albert,L.,MALE,CHEMICALS & ALLIED PDS-WHSL,Other Chemical and Allied Products Merchant Wholes,Health Care Distributors,SM,ACET,424690,3510,5160,,,1632
1633,32327,James W. Green,CEO,33829,ANALOGIC CORP,Yes,"Chief Executive Officer, President and Director",2604.653,0,1291.305,649.588,0,0,63.76,2604.653,600,2604.653,2187.594,3894.932,5644.238,63.101,0.508,63.101,0.508,35,608.574,12.862,915.26,56,23.588,1940.893,0,28.904,41.828,446.248,194.348,25,1797.75,24.016,1726.991,0,0,220.635,33.16,165.122,0,1542.326,0,1,,,940.166,,,,,,,3.823,3.823,13.279,13.279,21.718,13.279,26.558,,,,,DeBenedittis,Frank,,MALE,CHEMICALS & ALLIED PDS-WHSL,Other Chemical and Allied Products Merchant Wholes,Health Care Distributors,SM,ACET,424690,3510,5160,,,1633
1659,32760,Michael J. Anderson,CEO,34328,ANDERSONS INC,Yes,Chairman and Chief Executive Officer,2249.955,0,734.856,0,775,635.743,88.092,2856.686,622.995,2885.698,5255.188,1093.46,2649.66,574.881,2.01,574.881,2.01,27.15,900.566,37.645,2232.792,62,0,0,763.868,0,0,0,0,25.161,1337.056,55.7,2959.898,3797.748,0,0,65.523,32.152,0,681.247,0,1,,,901.157,,,,,,,,,,,,,,,,,,"Srinivasan, B.Pharm.",Satish,,MALE,CHEMICALS & ALLIED PDS-WHSL,Other Chemical and Allied Products Merchant Wholes,Health Care Distributors,SM,ACET,424690,3510,5160,,,1659
1661,4038,Anthony G. Petrello,CEO,2680,NABORS INDUSTRIES LTD,Yes,"Chairman, Chief Executive Officer, President and Chairman of Executive Committee",14794.703,0,9816.826,0,1664.25,131.975,1431.652,14794.703,1750,14794.703,11962.163,48917.967,0,7190.891,2.475,7190.891,2.475,0,0,188.069,6984.286,59,0,0,9816.826,4133.487,0,5282.108,0,967.271,12555.178,334.569,4342.706,0,0,0,1200,375.633,175.906,7044.405,131.975,1,,,6112.46,,,,,,,0,0,-5.869,-5.869,0.974,-5.869,-7.793,,,CEO,,Read,Rory,P.,MALE,"SEMICONDUCTOR,RELATED DEVICE",Semiconductor and Related Device Manufacturing,Semiconductors,MD,AMD,334413,4530,3674,,,1661
1678,3994,G. Steven Farris,CEO,2691,APACHE CORP,Yes,"Chairman, Chief Executive Officer, President and Member of Executive Committee",10214.172,0,8085.121,0,0,0,379.051,10214.172,1750,10214.172,4225.925,13125,29904.144,786.019,0.209,455.686,0.121,0,0,23.249,2096.874,66,0,0,8085.121,329.501,136.933,188.595,0,77.891,4881.429,133.96,8395.273,0,0,117,451.1,-684.397,0,8122.539,0,1,,,2924.77,,,,,,,0,40.91,11.829,11.829,58.834,11.829,7.003,,,,,Papermaster,Mark,D.,MALE,"SEMICONDUCTOR,RELATED DEVICE",Semiconductor and Related Device Manufacturing,Semiconductors,MD,AMD,334413,4530,3674,,,1678
1686,43176,Joseph F. Puishys,CEO,45891,APOGEE ENTERPRISES INC,Yes,"Chief Executive Officer, President and Director",3362.498,0,846.72,0,1692.5,0,66.74,3362.498,756.538,3362.498,4177.392,4449.843,12332.11,542.79,1.859,242.449,0.83,0,0,49.023,1661.614,57,0,0,846.72,0,450.512,0,16898.705,114.211,5236.574,0,0,0,0,0,192.5,0,0,192.5,0,1,,,9040.496,,,,,,,14.231,66.405,227.116,227.116,101.044,227.116,191.205,,,,,Su,Lisa,T.,FEMALE,"SEMICONDUCTOR,RELATED DEVICE",Semiconductor and Related Device Manufacturing,Semiconductors,MD,AMD,334413,4530,3674,,,1686
1690,11717,Timothy D. Cook,CEO,15741,APPLE INC,Yes,Chief Executive Officer and Director,9222.638,0,0,0,6700,0,774.176,9222.638,1748.462,9222.638,154301.838,0,0,950.767,0.016,950.767,0.016,0,0,1435,145079.2,53,0,0,0,0,0,0,0,3360,338520,1960,197470,0,0,0,0,0,0,0,0,1,,,2277.646,,,,,,,1.18,1.18,-34.343,-34.343,48.094,-34.343,-22.741,,,,,Kumar,Devinder,,MALE,"SEMICONDUCTOR,RELATED DEVICE",Semiconductor and Related Device Manufacturing,Semiconductors,MD,AMD,334413,4530,3674,,,1690
